num,name,price,type,sold,star,from,img_src,url
64,🌱เปลือกส้มโออบแห้ง 80 กรัม 🚚💨พร้อมส่ง Dried fruit ผลไม้อบแห้ง,฿18,ร้านแนะนำ,129.0,4.76,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/626587df4c332bd7c6d53672d146a734_tn,https://shopee.co.th//🌱เปลือกส้มโออบแห้ง-80-กรัม-🚚💨พร้อมส่ง-Dried-fruit-ผลไม้อบแห้ง-i.119816658.5408377053
65,*พร้อมส่ง​*นมพีชราสเบอรี่​(เซียวจ้าน)​/ส้มโอแดง/มะม่วงเสาวรส​,฿45 - ฿59,general,258.0,4.869,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/10ef647f13b72979eec13f73f26eb745_tn,https://shopee.co.th//*พร้อมส่ง​*นมพีชราสเบอรี่​(เซียวจ้าน)​-ส้มโอแดง-มะม่วงเสาวรส​-i.88621162.5663423727
66,ส้มโอ ขาวใหญ่ (ของดีแม่กลอง),฿100,general,470.0,4.6866,จังหวัดสมุทรสงคราม,https://cf.shopee.co.th/file/37e79e89338a496e1c60957af123a5b3_tn,https://shopee.co.th//ส้มโอ-ขาวใหญ่-(ของดีแม่กลอง)-i.39298135.2214650392
67,ต้นมะกรูดเสียบรากส้มโอจะแข็ง กิ่งพร้อมปลูกได้เลย ‼️ พันธุ์ใบใหญ่. มีลูกเก็บ🌱(60-80cm),฿85,ร้านแนะนำ,302.0,4.8151,จังหวัดนครปฐม,https://cf.shopee.co.th/file/25c5a739637cbdf35dd1170a3eadef61_tn,https://shopee.co.th//ต้นมะกรูดเสียบรากส้มโอจะแข็ง-กิ่งพร้อมปลูกได้เลย-‼️-พันธุ์ใบใหญ่.-มีลูกเก็บ🌱(60-80cm)-i.173777749.3629947530
68,ส้มโอขาวใหญ่ (ของดีแม่กลอง) สวนของครอบครัว ชาวสวนปลูกเอง,฿96,general,17.0,5.0,จังหวัดสมุทรสงคราม,https://cf.shopee.co.th/file/a81347e7cbeb2a5bd3d23fccccaaa00a_tn,https://shopee.co.th//ส้มโอขาวใหญ่-(ของดีแม่กลอง)-สวนของครอบครัว-ชาวสวนปลูกเอง-i.15864980.6036952690
69,ส้มโอแดงเวียดนาม ส้มโอสีแดง ต้นพันธุ์เสียบยอดสูง 40-50 ซม. ต้นพันธุ์แข็งแรงพร้อมปลูก รับประกันสายพันธุ์แท้ 100 %,฿145,general,120.0,4.7727,จังหวัดพิษณุโลก,https://cf.shopee.co.th/file/4bced267dd47b63c74919ff5b4e9a1c5_tn,https://shopee.co.th//ส้มโอแดงเวียดนาม-ส้มโอสีแดง-ต้นพันธุ์เสียบยอดสูง-40-50-ซม.-ต้นพันธุ์แข็งแรงพร้อมปลูก-รับประกันสายพันธุ์แท้-100--i.260863030.6541814620
70,ลองบีชเพียวเร่ส้มโอทับทิมสยาม ขนาด 900มล. (LongBeach Thai Red Ruby Pomelo Puree 900ml.),฿245,ร้านแนะนำ,58.0,4.8947,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/6c0d38c1ccbf76fa396ec50822db95a0_tn,https://shopee.co.th//ลองบีชเพียวเร่ส้มโอทับทิมสยาม-ขนาด-900มล.-(LongBeach-Thai-Red-Ruby-Pomelo-Puree-900ml.)-i.77729399.6725839276
71,ไซรัป เกรปฟรุตเข้มข้น บรรจุ 2.5 kg ไซรัปส้มโอ นำเข้าจากไต้หวัน มีเนื้อในตัว พรีเมี่ยม Grapefruit Concentrate,฿493,ร้านแนะนำ,15.0,5.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/6dd52d3561e54f10e9a40f3d8576953d_tn,https://shopee.co.th//ไซรัป-เกรปฟรุตเข้มข้น-บรรจุ-2.5-kg-ไซรัปส้มโอ-นำเข้าจากไต้หวัน-มีเนื้อในตัว-พรีเมี่ยม-Grapefruit-Concentrate-i.226981668.9214807511
72,ตะกร้อสอยผลไม้ มะม่วง ส้มโอ  กระท้อน ตราปลาทอง(ขนาดใหญ่),฿190,ร้านแนะนำ,53.0,4.931,จังหวัดนครสวรรค์,https://cf.shopee.co.th/file/e87dbfce9b730c6447fec2c6ee871c1b_tn,https://shopee.co.th//ตะกร้อสอยผลไม้-มะม่วง-ส้มโอ-กระท้อน-ตราปลาทอง(ขนาดใหญ่)-i.155968560.5343571062
73,POMELO FRAGRANCE OIL - หัวเชื้อน้ำหอม กลิ่นส้มโอ เข้มข้นสูง ติดทนยาวนาน,฿85,ร้านแนะนำ,19.0,4.4286,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/2db6973fa62cef9c0dd15028b911e9f3_tn,https://shopee.co.th//POMELO-FRAGRANCE-OIL-หัวเชื้อน้ำหอม-กลิ่นส้มโอ-เข้มข้นสูง-ติดทนยาวนาน-i.214965477.7732266935
